id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,is_violent_recid,vr_charge_degree,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,v_score_text,start,end,event,two_year_recid,r_days_from_arrest_missing
1,Male,69,Greater than 45,Other,0,1,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,327,0,0,1
3,Male,34,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,F,1,(F3),-1.0,1,(F3),Risk of Recidivism,Low,Risk of Violence,1,Low,9,159,1,1,1
4,Male,24,Less than 25,African-American,0,4,0,1,4,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,63,0,1,0
7,Male,44,25 - 45,Other,0,1,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,853,0,0,1
8,Male,41,25 - 45,Caucasian,0,6,0,0,14,-1.0,1.0,F,1,(F2),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,2,Low,5,40,1,1,0
9,Male,43,25 - 45,Other,0,4,0,0,3,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,265,0,0,1
10,Female,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,2,747,0,0,1
14,Male,27,25 - 45,Caucasian,0,4,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,0,857,0,0,1
15,Male,23,Less than 25,African-American,0,6,0,0,3,0.0,0.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,4,Low,4,128,1,1,1
16,Female,37,25 - 45,Caucasian,0,1,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,1186,0,0,1
18,Male,41,25 - 45,African-American,0,4,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,905,0,0,1
19,Female,47,Greater than 45,Caucasian,0,1,0,0,1,-20.0,490.0,F,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,216,1,1,0
20,Male,31,25 - 45,African-American,0,3,0,0,7,22.0,71.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,22,1,1,0
21,Male,37,25 - 45,Hispanic,0,1,0,0,0,0.0,0.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,0,739,0,0,1
22,Male,25,25 - 45,African-American,0,10,0,0,3,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,9,High,0,463,0,0,1
23,Male,31,25 - 45,Caucasian,0,5,0,0,6,-1.0,1.0,F,1,(F3),-1.0,1,(F1),Risk of Recidivism,Medium,Risk of Violence,4,Low,0,241,1,1,1
24,Male,31,25 - 45,Caucasian,0,3,0,0,5,-1.0,1.0,F,1,(F3),1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,163,1,1,0
25,Male,64,Greater than 45,African-American,0,6,0,0,13,-1.0,1.0,F,1,(F2),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,3,Low,0,1,1,1,0
26,Male,21,Less than 25,African-American,0,9,0,0,1,-1.0,1.0,F,1,(M2),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,9,High,2,30,1,1,0
27,Male,27,25 - 45,Caucasian,0,2,0,0,0,0.0,0.0,M,1,(M2),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,3,Low,0,81,1,1,1
28,Female,21,Less than 25,Caucasian,0,4,0,0,0,-2.0,2.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,5,Medium,0,861,0,0,1
30,Male,24,Less than 25,Hispanic,0,4,0,0,1,0.0,1.0,F,1,(M1),-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,5,Medium,1,411,1,1,1
32,Male,43,25 - 45,Caucasian,0,1,0,0,1,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,2,Low,0,1162,0,0,1
33,Male,32,25 - 45,Other,0,3,0,0,0,-1.0,1.0,M,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,4,Low,1,1056,0,0,1
37,Male,27,25 - 45,African-American,0,3,0,0,8,-1.0,1.0,F,1,(M2),-1.0,1,(F3),Risk of Recidivism,Low,Risk of Violence,3,Low,16,116,0,1,1
39,Male,26,25 - 45,African-American,0,7,0,1,5,-1.0,1.0,F,1,(M1),0.0,0,No_Recidivism,Risk of Recidivism,Medium,Risk of Violence,7,Medium,0,391,0,1,0
40,Male,33,25 - 45,African-American,0,10,0,0,0,0.0,1.0,F,1,(F3),-1.0,1,(M1),Risk of Recidivism,High,Risk of Violence,6,Medium,38,215,0,1,1
41,Male,30,25 - 45,Caucasian,0,9,0,0,9,0.0,0.0,F,1,(F3),0.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,10,High,44,162,1,1,0
42,Male,32,25 - 45,African-American,0,8,0,0,4,-1.0,1.0,F,1,(M1),1.0,0,No_Recidivism,Risk of Recidivism,High,Risk of Violence,3,Low,0,6,1,1,0
45,Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1.0,1.0,F,0,No_Recidivism,-1.0,0,No_Recidivism,Risk of Recidivism,Low,Risk of Violence,1,Low,1,823,0,0,1
