y_true,y_pred,race_group,explicacao_shap
0,0,White,"situacao_de_emprego [jobs_per_year=0.3078381795195955, percent_days_employed=0.67425200168563] (reduz o risco); residence_changes = 3 (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=0, prior_conviction_episodes_misd=0] (reduz o risco); avg_days_per_drugtest = 474.6 (reduz o risco)"
0,0,Black,"prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); condition_mh_sa = 0 (reduz o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); age_at_release = 4 (reduz o risco)"
1,1,Black,"delinquency_reports = 4 (reduz o risco); program_attendances = 10 (reduz o risco); drugtests_thc_positive = 0.0399999991059303 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco)"
0,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); delinquency_reports = 0 (aumenta o risco); prior_arrest_episodes_felony = 9 (aumenta o risco); avg_days_per_drugtest = 98.75 (reduz o risco)"
0,0,Black,"situacao_de_emprego [jobs_per_year=0.6128355704697986, percent_days_employed=0.3389261744966443] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=0, prior_conviction_episodes_prop=0] (reduz o risco); avg_days_per_drugtest = 74.5 (reduz o risco)"
0,0,White,"gang_affiliated = -1 (reduz o risco); age_at_release = 6 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_arrest_episodes_felony = 2 (reduz o risco)"
0,0,White,"situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.8064516129032258] (aumenta o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); delinquency_reports = 4 (reduz o risco)"
1,0,White,"age_at_release = 6 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); historico_crimes_propriedade [prior_arrest_episodes_property=5, prior_conviction_episodes_prop=3] (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
1,1,White,"drugtests_meth_positive = 0.2000000029802322 (aumenta o risco); situacao_de_emprego [jobs_per_year=1.0, percent_days_employed=0.7142857142857143] (aumenta o risco); drugtests_other_positive = 0.2000000029802322 (aumenta o risco); avg_days_per_drugtest = 23.8 (aumenta o risco)"
1,0,White,"drugtests_meth_positive = 0.2857142984867096 (aumenta o risco); drugtests_other_positive = 0.1428571492433548 (aumenta o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); drugtests_thc_positive = 0.2857142984867096 (aumenta o risco)"
1,1,White,"situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); gang_affiliated = -1 (reduz o risco); program_unexcusedabsences = 2 (aumenta o risco); age_at_release = 5 (reduz o risco)"
1,1,White,"delinquency_reports = 4 (reduz o risco); program_attendances = 10 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)"
1,0,Black,gang_affiliated = 1 (aumenta o risco); delinquency_reports = 4 (reduz o risco); age_at_release = 5 (reduz o risco); residence_changes = 2 (aumenta o risco)
0,0,Black,age_at_release = 4 (reduz o risco); condition_mh_sa = 0 (reduz o risco); supervision_risk_score_first = 4.0 (reduz o risco); education_level = Less than HS diploma (reduz o risco)
1,1,White,"residence_changes = 3 (aumenta o risco); situacao_de_emprego [jobs_per_year=2.0, percent_days_employed=0.7347560975609756] (aumenta o risco); avg_days_per_drugtest = 109.3333333333333 (reduz o risco); supervision_risk_score_first = 4.0 (reduz o risco)"
0,1,Black,"delinquency_reports = 4 (reduz o risco); situacao_de_emprego [jobs_per_year=0.0, percent_days_employed=0.0] (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); historico_crimes_misdemeanor [prior_arrest_episodes_misd=6, prior_conviction_episodes_misd=4] (aumenta o risco)"
