y_true,race_group,explicacao_shap
1,Other,"faixa_etaria [age=21, age_cat_Greater than 45=False, age_cat_Less than 25=True] (aumenta o risco); priors_count = 4 (aumenta o risco); c_charge_degree != M (aumenta o risco); c_days_from_compas = 1.0 (aumenta o risco)"
0,Black,"days_b_screening_arrest = 29.0 (aumenta o risco); c_days_from_compas = 169.0 (reduz o risco); faixa_etaria [age=50, age_cat_Greater than 45=True, age_cat_Less than 25=False] (reduz o risco); priors_count = 5 (aumenta o risco)"
1,Other,"faixa_etaria [age=24, age_cat_Greater than 45=False, age_cat_Less than 25=True] (aumenta o risco); juv_other_count = 9 (aumenta o risco); c_charge_degree != M (aumenta o risco); sex = Male (aumenta o risco)"
0,Other,"priors_count = 0 (reduz o risco); faixa_etaria [age=52, age_cat_Greater than 45=True, age_cat_Less than 25=False] (reduz o risco); c_charge_degree != M (aumenta o risco); sex = Male (aumenta o risco)"
1,Black,"priors_count = 7 (aumenta o risco); days_b_screening_arrest = -23.0 (reduz o risco); faixa_etaria [age=35, age_cat_Greater than 45=False, age_cat_Less than 25=False] (reduz o risco); c_charge_degree != M (aumenta o risco)"
1,Black,"priors_count = 9 (aumenta o risco); faixa_etaria [age=52, age_cat_Greater than 45=True, age_cat_Less than 25=False] (reduz o risco); c_charge_degree = M (reduz o risco); c_days_from_compas = 1.0 (aumenta o risco)"
1,Black,"faixa_etaria [age=39, age_cat_Greater than 45=False, age_cat_Less than 25=False] (reduz o risco); priors_count = 3 (aumenta o risco); c_charge_degree != M (aumenta o risco); sex = Male (aumenta o risco)"
0,White,"faixa_etaria [age=49, age_cat_Greater than 45=True, age_cat_Less than 25=False] (reduz o risco); c_days_from_compas = 1.0 (aumenta o risco); c_charge_degree = M (reduz o risco); priors_count = 2 (reduz o risco)"
1,Black,"faixa_etaria [age=20, age_cat_Greater than 45=False, age_cat_Less than 25=True] (aumenta o risco); priors_count = 0 (reduz o risco); juv_other_count = 1 (aumenta o risco); sex = Male (aumenta o risco)"
1,Black,"priors_count = 8 (aumenta o risco); faixa_etaria [age=26, age_cat_Greater than 45=False, age_cat_Less than 25=False] (aumenta o risco); c_charge_degree != M (aumenta o risco); juv_other_count = 0 (reduz o risco)"
1,White,"priors_count = 0 (reduz o risco); faixa_etaria [age=60, age_cat_Greater than 45=True, age_cat_Less than 25=False] (reduz o risco); sex != Male (reduz o risco); c_charge_degree != M (aumenta o risco)"
0,White,"priors_count = 0 (reduz o risco); faixa_etaria [age=39, age_cat_Greater than 45=False, age_cat_Less than 25=False] (reduz o risco); c_charge_degree != M (aumenta o risco); sex = Male (aumenta o risco)"
0,Black,"priors_count = 0 (reduz o risco); c_charge_degree = M (reduz o risco); faixa_etaria [age=29, age_cat_Greater than 45=False, age_cat_Less than 25=False] (reduz o risco); sex = Male (aumenta o risco)"
0,White,"c_days_from_compas = 27.0 (reduz o risco); faixa_etaria [age=24, age_cat_Greater than 45=False, age_cat_Less than 25=True] (aumenta o risco); priors_count = 2 (aumenta o risco); days_b_screening_arrest = -27.0 (reduz o risco)"
0,White,"priors_count = 0 (reduz o risco); c_charge_degree = M (reduz o risco); faixa_etaria [age=30, age_cat_Greater than 45=False, age_cat_Less than 25=False] (reduz o risco); sex = Male (aumenta o risco)"
1,Other,"faixa_etaria [age=20, age_cat_Greater than 45=False, age_cat_Less than 25=True] (aumenta o risco); juv_misd_count = 2 (aumenta o risco); priors_count = 2 (aumenta o risco); juv_other_count = 1 (aumenta o risco)"
