y_true,race_group,explicacao_shap
0,White,jobs_per_year = 0.3078381795195955 (reduz o risco); percent_days_employed = 0.67425200168563 (reduz o risco); residence_changes = 3 (aumenta o risco); avg_days_per_drugtest = 474.6 (reduz o risco)
0,Black,prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); percent_days_employed = 0.4694464414090582 (aumenta o risco); jobs_per_year = 0.5251617541337167 (reduz o risco); condition_mh_sa = 0 (reduz o risco)
1,Black,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); delinquency_reports = 4 (reduz o risco); program_attendances = 10 (reduz o risco)
0,White,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); delinquency_reports = 0 (aumenta o risco); prior_arrest_episodes_felony = 9 (aumenta o risco)
0,Black,percent_days_employed = 0.3389261744966443 (aumenta o risco); jobs_per_year = 0.6128355704697986 (reduz o risco); prior_arrest_episodes_misd = 6 (aumenta o risco); avg_days_per_drugtest = 74.5 (reduz o risco)
0,White,percent_days_employed = 0.0 (aumenta o risco); gang_affiliated = -1 (reduz o risco); age_at_release = 6 (reduz o risco); jobs_per_year = 0.0 (reduz o risco)
0,White,jobs_per_year = 1.0 (aumenta o risco); age_at_release = 6 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco); delinquency_reports = 4 (reduz o risco)
1,White,percent_days_employed = 0.0 (aumenta o risco); age_at_release = 6 (reduz o risco); jobs_per_year = 0.0 (reduz o risco); delinquency_reports = 0 (aumenta o risco)
1,White,drugtests_meth_positive = 0.2000000029802322 (aumenta o risco); jobs_per_year = 1.0 (aumenta o risco); drugtests_other_positive = 0.2000000029802322 (aumenta o risco); avg_days_per_drugtest = 23.8 (aumenta o risco)
1,White,percent_days_employed = 0.0 (aumenta o risco); drugtests_meth_positive = 0.2857142984867096 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); drugtests_other_positive = 0.1428571492433548 (aumenta o risco)
1,White,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); gang_affiliated = -1 (reduz o risco); program_unexcusedabsences = 2 (aumenta o risco)
1,White,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); delinquency_reports = 4 (reduz o risco); program_attendances = 10 (reduz o risco)
1,Black,jobs_per_year = 2.0 (aumenta o risco); percent_days_employed = 1.0 (reduz o risco); gang_affiliated = 1 (aumenta o risco); delinquency_reports = 4 (reduz o risco)
0,Black,age_at_release = 4 (reduz o risco); condition_mh_sa = 0 (reduz o risco); supervision_risk_score_first = 4.0 (reduz o risco); education_level = Less than HS diploma (reduz o risco)
1,White,jobs_per_year = 2.0 (aumenta o risco); residence_changes = 3 (aumenta o risco); percent_days_employed = 0.7347560975609756 (reduz o risco); avg_days_per_drugtest = 109.3333333333333 (reduz o risco)
0,Black,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); delinquency_reports = 4 (reduz o risco); prior_arrest_episodes_felony = 10 (aumenta o risco)
1,White,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); program_attendances = 10 (reduz o risco); age_at_release = 5 (reduz o risco)
0,Black,percent_days_employed = 0.3144963144963145 (aumenta o risco); program_unexcusedabsences = 3 (aumenta o risco); prior_arrest_episodes_felony = 10 (aumenta o risco); age_at_release = 5 (reduz o risco)
0,Black,percent_days_employed = 1.0 (reduz o risco); residence_changes = 3 (aumenta o risco); avg_days_per_drugtest = 89.77777777777777 (reduz o risco); jobs_per_year = 1.808168316831683 (aumenta o risco)
0,White,jobs_per_year = 0.2216322815533981 (reduz o risco); percent_days_employed = 0.9648058252427184 (reduz o risco); program_attendances = 10 (reduz o risco); delinquency_reports = 4 (reduz o risco)
1,Black,percent_days_employed = 0.0124223602484472 (aumenta o risco); jobs_per_year = 1.0 (aumenta o risco); residence_changes = 2 (aumenta o risco); prior_arrest_episodes_ppviolationcharges = 5 (aumenta o risco)
1,White,jobs_per_year = 1.0 (aumenta o risco); percent_days_employed = 1.0 (reduz o risco); age_at_release = 6 (reduz o risco); avg_days_per_drugtest = 0.0 (aumenta o risco)
0,White,percent_days_employed = 1.0 (reduz o risco); condition_mh_sa = 0 (reduz o risco); prior_arrest_episodes_ppviolationcharges = 1 (reduz o risco); prior_arrest_episodes_misd = 6 (aumenta o risco)
1,Black,percent_days_employed = 0.0717639168343394 (aumenta o risco); jobs_per_year = 0.2449698189134809 (reduz o risco); delinquency_reports = 0 (aumenta o risco); residence_puma = 4 (reduz o risco)
1,White,percent_days_employed = 1.0 (reduz o risco); jobs_per_year = 3.0 (aumenta o risco); prior_revocations_parole = 1 (aumenta o risco); prior_arrest_episodes_property = 0 (reduz o risco)
1,White,percent_days_employed = 1.0 (reduz o risco); jobs_per_year = 1.0 (aumenta o risco); age_at_release = 6 (reduz o risco); supervision_risk_score_first = 3.0 (reduz o risco)
0,White,percent_days_employed = 0.0 (aumenta o risco); jobs_per_year = 0.0 (reduz o risco); age_at_release = 4 (reduz o risco); delinquency_reports = 0 (aumenta o risco)
1,Black,jobs_per_year = 1.0 (aumenta o risco); gang_affiliated = -1 (reduz o risco); age_at_release = 5 (reduz o risco); drugtests_cocaine_positive = 0.5 (aumenta o risco)
