dataset_origin,id,race_group,sex,target_2yr_recid
NIJ,1,Black,M,0
NIJ,2,Black,M,0
NIJ,3,Black,M,1
NIJ,4,White,M,0
NIJ,5,White,M,1
NIJ,6,White,M,0
NIJ,7,Black,M,0
NIJ,8,Black,M,0
NIJ,9,Black,F,1
NIJ,10,Black,M,1
NIJ,11,White,M,1
NIJ,12,Black,M,1
NIJ,13,White,M,0
NIJ,14,Black,M,1
NIJ,15,White,M,0
NIJ,16,Black,M,0
NIJ,17,Black,M,1
NIJ,18,White,M,1
NIJ,19,Black,M,0
NIJ,20,White,M,0
NIJ,21,Black,M,0
NIJ,22,Black,M,0
NIJ,23,White,F,0
NIJ,24,White,F,0
NIJ,25,Black,M,1
NIJ,26,White,M,1
NIJ,27,White,M,0
NIJ,28,White,M,1
NIJ,29,Black,M,0
NIJ,30,Black,M,1
NIJ,31,White,M,1
NIJ,32,White,F,0
NIJ,33,White,M,1
NIJ,34,White,F,1
NIJ,35,White,M,1
NIJ,36,Black,M,0
NIJ,37,White,M,0
NIJ,38,Black,M,0
NIJ,39,Black,M,0
NIJ,40,Black,F,0
NIJ,41,White,M,1
NIJ,42,Black,M,0
NIJ,43,White,F,1
NIJ,44,White,M,1
NIJ,45,Black,M,1
NIJ,46,Black,M,0
NIJ,47,White,M,0
NIJ,48,White,M,0
NIJ,49,White,M,1
NIJ,50,Black,M,0
NIJ,51,White,F,0
NIJ,52,White,M,1
NIJ,53,White,M,1
NIJ,54,Black,M,0
NIJ,55,Black,M,0
NIJ,56,Black,M,1
NIJ,57,Black,M,0
NIJ,58,Black,M,0
NIJ,59,Black,M,1
NIJ,60,White,M,1
NIJ,61,Black,M,0
NIJ,62,White,F,0
NIJ,63,Black,M,0
NIJ,64,White,F,0
NIJ,65,White,F,1
NIJ,66,Black,M,1
NIJ,67,Black,M,0
NIJ,68,Black,M,0
NIJ,69,Black,M,0
NIJ,70,White,F,0
NIJ,71,White,M,0
NIJ,72,White,M,0
NIJ,73,Black,M,0
NIJ,74,White,M,1
NIJ,75,Black,M,1
NIJ,76,White,M,0
NIJ,77,White,F,1
NIJ,78,Black,M,0
NIJ,80,Black,M,0
NIJ,81,Black,M,1
NIJ,82,Black,M,1
NIJ,83,White,M,1
NIJ,84,Black,M,0
NIJ,85,Black,F,1
NIJ,86,White,M,0
NIJ,87,White,M,0
NIJ,88,Black,F,1
NIJ,89,Black,M,1
NIJ,90,Black,M,0
NIJ,91,White,M,0
NIJ,92,Black,M,0
NIJ,93,White,M,0
NIJ,94,White,M,1
NIJ,95,Black,M,0
NIJ,96,White,M,1
NIJ,97,White,F,0
NIJ,98,White,M,1
NIJ,99,White,M,0
NIJ,100,White,M,0
NIJ,101,Black,F,0
NIJ,102,White,M,1
NIJ,103,White,M,0
NIJ,104,Black,M,0
NIJ,105,Black,F,1
NIJ,106,White,M,1
NIJ,107,White,F,0
NIJ,108,Black,M,0
NIJ,109,White,F,1
NIJ,110,Black,M,1
NIJ,111,White,M,1
NIJ,112,Black,M,0
NIJ,113,White,M,1
NIJ,114,Black,M,0
NIJ,115,White,M,0
NIJ,116,White,M,0
NIJ,117,Black,M,1
NIJ,118,White,M,0
NIJ,119,Black,M,0
NIJ,120,White,M,1
NIJ,121,Black,M,0
NIJ,122,Black,M,0
NIJ,123,Black,M,1
NIJ,124,White,M,0
NIJ,125,White,M,0
NIJ,126,White,M,0
NIJ,127,White,F,0
NIJ,128,White,M,1
NIJ,129,White,M,1
NIJ,130,White,M,1
NIJ,131,Black,F,1
NIJ,132,White,M,1
NIJ,133,White,F,1
NIJ,134,Black,F,0
NIJ,135,White,F,0
NIJ,136,White,M,0
NIJ,137,White,M,1
NIJ,138,White,M,1
NIJ,139,White,M,1
NIJ,140,White,M,0
NIJ,141,White,F,0
NIJ,142,Black,M,0
NIJ,143,Black,M,1
NIJ,144,Black,M,0
NIJ,145,White,M,1
NIJ,146,White,M,0
NIJ,147,White,M,0
NIJ,148,White,F,1
NIJ,149,Black,M,0
NIJ,150,White,M,1
NIJ,151,Black,M,0
NIJ,152,Black,M,0
NIJ,153,Black,M,0
NIJ,154,White,M,1
NIJ,155,Black,M,1
NIJ,156,White,M,0
NIJ,157,White,M,0
NIJ,158,Black,M,1
NIJ,159,Black,M,0
NIJ,160,White,M,1
NIJ,161,Black,M,1
NIJ,162,Black,M,0
NIJ,163,Black,M,1
NIJ,164,White,F,0
NIJ,165,Black,M,1
NIJ,166,White,M,1
NIJ,167,Black,M,0
NIJ,168,Black,M,0
NIJ,169,White,M,1
NIJ,170,White,M,1
NIJ,171,White,M,1
NIJ,172,Black,M,1
NIJ,173,Black,M,0
NIJ,174,White,M,1
NIJ,175,Black,M,0
NIJ,176,White,F,0
NIJ,177,Black,M,1
NIJ,178,Black,M,1
NIJ,179,White,M,0
NIJ,180,Black,M,0
NIJ,181,White,M,1
NIJ,182,White,M,1
NIJ,183,White,M,0
NIJ,184,White,M,1
NIJ,185,Black,M,1
NIJ,186,Black,M,0
NIJ,187,White,M,1
NIJ,188,White,F,0
NIJ,189,Black,M,0
NIJ,190,Black,M,0
NIJ,191,White,M,1
NIJ,192,Black,M,1
NIJ,193,Black,M,1
NIJ,194,White,M,0
NIJ,195,White,M,1
NIJ,196,White,F,0
NIJ,197,White,M,1
NIJ,198,White,F,0
NIJ,199,White,F,0
NIJ,200,White,M,1
NIJ,201,White,F,0
NIJ,202,Black,M,0
NIJ,203,White,M,0
NIJ,204,White,F,0
NIJ,205,White,M,0
NIJ,206,Black,M,1
NIJ,207,White,M,0
NIJ,208,White,M,1
NIJ,209,White,M,0
NIJ,210,Black,M,0
NIJ,211,Black,M,0
NIJ,212,Black,M,0
NIJ,213,Black,M,0
NIJ,214,White,M,0
NIJ,215,Black,M,0
NIJ,216,White,M,0
NIJ,217,Black,M,0
NIJ,218,Black,M,1
NIJ,219,White,F,1
NIJ,220,Black,M,1
NIJ,221,Black,M,1
